iter	Passed	Remaining
575	1991	1465
576	1994	1462
577	1997	1458
578	2000	1454
579	2004	1451
580	2007	1447
581	2010	1444
582	2013	1440
583	2016	1436
584	2020	1433
585	2023	1429
586	2026	1425
587	2029	1422
588	2032	1418
589	2036	1414
590	2039	1411
591	2042	1407
592	2046	1404
593	2049	1400
594	2052	1397
595	2055	1393
596	2059	1389
597	2062	1386
598	2065	1382
599	2068	1379
600	2071	1375
601	2074	1371
602	2078	1368
603	2081	1364
604	2084	1360
605	2087	1357
606	2091	1353
607	2094	1350
608	2097	1346
609	2100	1343
610	2103	1339
611	2107	1335
612	2110	1332
613	2113	1328
614	2116	1325
615	2120	1321
616	2123	1317
617	2126	1314
618	2129	1310
619	2132	1307
620	2135	1303
621	2139	1299
622	2142	1296
623	2145	1292
624	2148	1289
625	2151	1285
626	2154	1281
627	2158	1278
628	2161	1274
629	2164	1271
630	2167	1267
631	2170	1264
632	2174	1260
633	2177	1256
634	2180	1253
635	2183	1249
636	2186	1246
637	2190	1242
638	2193	1239
639	2196	1235
640	2199	1231
641	2202	1228
642	2206	1224
643	2209	1221
644	2212	1217
645	2215	1214
646	2218	1210
647	2222	1207
648	2225	1203
649	2228	1200
650	2232	1196
651	2235	1193
652	2238	1189
653	2241	1185
654	2244	1182
655	2247	1178
656	2251	1175
657	2254	1171
658	2257	1168
659	2260	1164
660	2264	1161
661	2267	1157
662	2270	1153
663	2273	1150
664	2276	1146
665	2279	1143
666	2283	1139
667	2286	1136
668	2289	1132
669	2292	1129
670	2295	1125
671	2299	1122
672	2302	1118
673	2305	1115
674	2308	1111
675	2311	1108
676	2315	1104
677	2318	1100
678	2321	1097
679	2324	1093
680	2327	1090
681	2330	1086
682	2333	1083
683	2337	1079
684	2340	1076
685	2343	1072
686	2346	1069
687	2349	1065
688	2353	1062
689	2356	1058
690	2359	1055
691	2362	1051
692	2366	1048
693	2369	1044
694	2372	1041
695	2376	1037
696	2379	1034
697	2382	1030
698	2385	1027
699	2388	1023
700	2391	1020
701	2394	1016
702	2397	1013
703	2401	1009
704	2404	1006
705	2407	1002
706	2410	998
707	2413	995
708	2416	991
709	2419	988
710	2422	984
711	2426	981
712	2429	977
713	2432	974
714	2435	970
715	2439	967
716	2442	964
717	2445	960
718	2448	956
719	2451	953
720	2455	950
721	2458	946
722	2461	943
723	2464	939
724	2467	936
725	2471	932
726	2474	929
727	2477	925
728	2480	922
729	2484	918
730	2487	915
731	2490	911
732	2493	908
733	2496	904
734	2499	901
735	2503	897
736	2506	894
737	2509	890
738	2512	887
739	2515	883
740	2519	880
741	2522	876
742	2525	873
743	2528	870
744	2531	866
745	2535	863
746	2538	859
747	2541	856
748	2544	852
749	2547	849
750	2551	845
751	2554	842
752	2557	838
753	2560	835
754	2563	831
755	2566	828
756	2570	825
757	2573	821
758	2576	818
759	2579	814
760	2582	811
761	2585	807
762	2588	804
763	2592	800
764	2595	797
765	2598	793
766	2601	790
767	2605	786
768	2608	783
769	2611	780
770	2614	776
771	2617	773
772	2622	770
773	2625	766
774	2628	763
775	2631	759
776	2635	756
777	2638	752
778	2641	749
779	2644	745
780	2647	742
781	2651	739
782	2654	735
783	2657	732
784	2660	728
785	2663	725
786	2667	721
787	2670	718
788	2673	714
789	2676	711
790	2679	708
791	2682	704
792	2686	701
793	2689	697
794	2692	694
795	2695	690
796	2699	687
797	2702	684
798	2705	680
799	2708	677
800	2711	673
801	2715	670
802	2718	666
803	2721	663
804	2724	659
805	2727	656
806	2730	652
807	2733	649
808	2736	646
809	2739	642
810	2743	639
811	2746	635
812	2749	632
813	2752	628
814	2755	625
815	2758	622
816	2762	618
817	2765	615
818	2768	611
819	2771	608
820	2774	604
821	2777	601
822	2781	598
823	2784	594
824	2787	591
825	2790	587
826	2793	584
827	2797	581
828	2800	577
829	2803	574
830	2806	570
831	2809	567
832	2813	563
833	2816	560
834	2819	557
835	2823	553
836	2826	550
837	2829	546
838	2832	543
839	2835	540
840	2838	536
841	2842	533
842	2845	529
843	2848	526
844	2851	523
845	2854	519
846	2857	516
847	2861	512
848	2864	509
849	2867	506
850	2870	502
851	2873	499
852	2877	495
853	2880	492
854	2883	489
855	2886	485
856	2890	482
857	2893	478
858	2896	475
859	2899	472
860	2902	468
861	2906	465
862	2909	461
863	2912	458
864	2915	455
865	2918	451
866	2921	448
867	2924	444
868	2927	441
869	2931	438
870	2934	434
871	2937	431
872	2940	427
873	2943	424
874	2946	420
875	2949	417
876	2952	414
877	2956	410
878	2959	407
879	2962	403
880	2965	400
881	2968	397
882	2972	393
883	2975	390
884	2978	387
885	2981	383
886	2985	380
887	2988	376
888	2991	373
889	2994	370
890	2997	366
891	3000	363
892	3004	359
893	3007	356
894	3010	353
895	3013	349
896	3016	346
897	3019	342
898	3022	339
899	3025	336
900	3029	332
901	3032	329
902	3035	326
903	3038	322
904	3041	319
905	3044	315
906	3047	312
907	3051	309
908	3054	305
909	3057	302
910	3060	299
911	3063	295
912	3067	292
913	3070	288
914	3073	285
915	3076	282
916	3080	278
917	3083	275
918	3086	272
919	3089	268
920	3092	265
921	3095	261
922	3099	258
923	3102	255
924	3105	251
925	3108	248
926	3112	245
927	3115	241
928	3118	238
929	3121	234
930	3124	231
931	3127	228
932	3131	224
933	3134	221
934	3137	218
935	3140	214
936	3143	211
937	3146	207
938	3150	204
939	3153	201
940	3156	197
941	3159	194
942	3162	191
943	3166	187
944	3169	184
945	3172	181
946	3175	177
947	3178	174
948	3181	170
949	3185	167
950	3188	164
951	3191	160
952	3194	157
953	3197	154
954	3201	150
955	3204	147
956	3207	144
957	3210	140
958	3213	137
959	3217	134
960	3220	130
961	3223	127
962	3226	123
963	3229	120
964	3233	117
965	3236	113
966	3239	110
967	3242	107
968	3245	103
969	3248	100
970	3252	97
971	3255	93
972	3258	90
973	3261	87
974	3265	83
975	3268	80
976	3271	77
977	3274	73
978	3277	70
979	3280	66
980	3283	63
981	3286	60
982	3290	56
983	3293	53
984	3296	50
985	3299	46
986	3303	43
987	3306	40
988	3309	36
989	3313	33
990	3316	30
991	3319	26
992	3322	23
993	3325	20
994	3328	16
995	3332	13
996	3335	10
997	3338	6
998	3341	3
999	3344	0
